variable,codes_modalites,description,type,source,regle_construction
siret,14 caracteres numeriques,Identifiant SIRET etablissement,character,SIRENE,reprend colonne siret normalisee
siren,9 caracteres numeriques,Identifiant SIREN unite legale,character,SIRENE,reprend colonne siren normalisee
raison_sociale,texte libre,Nom officiel de la societe,character,SIRENE,"coalesce(nomuniteleg, denominatio_1, denominatio, enseigne, siret)"
denomination_usuelle,texte libre,Nom public/usuel du point de vente,character,SIRENE,"coalesce(denominatio, nomusageuni, enseigne, raison_sociale)"
est_siege,true/false/NA,Etablissement siege,logical,SIRENE,etablisseme (oui/non) sinon comparaison siret == siret_siege
appartient_groupe_reseau,true/false,Appartenance a un groupe/reseau,logical,Heuristique script,TRUE si enseigne/denomination matche table de correspondance
groupe_reseau_nom,noms de groupes / NA,Nom du groupe ou reseau rattache,character,Heuristique script,mapping regex enseigne->groupe
date_creation_etablissement,jj/mm/aaaa / NA,Date de creation de l'etablissement,Date,SIRENE,format_date_fr(datecreatio)
drive_accole,true/false,Presence d'un drive accole,logical,Fichier drives,join drives par siret ou adresse
date_creation_drive_accole,jj/mm/aaaa / NA,Date de creation du drive accole,Date,Fichier drives,date drive type accole
drive_deporte,true/false,Presence d'un drive deporte,logical,Fichier drives,join drives par siret ou adresse
code_naf,code NAF rev2 / NA,Code NAF du point de vente,character,SIRENE,extract_naf_code sur colonnes activite
libelle_naf,texte / NA,Libelle du code NAF,character,Heuristique script,mapping simplifie des codes 47.11*
adresse_postale,texte libre,Adresse postale complete,character,SIRENE,make_adresse_postale (adresse complete sinon concat champs adresse)
code_iris,code IRIS / NA,Code IRIS du point,character,INSEE georef IRIS,jointure spatiale point -> polygons IRIS
dans_zone_etude,true/false,Point dans la zone du groupe (Grenoble + Nord),logical,Heuristique commune,TRUE si commune in Grenoble/Meylan/La Tronche/Corenc/Saint-Martin-le-Vinoux/Saint-Egreve
dans_zone_agglo_groupes,true/false,Point dans l'agglo complete des groupes geomarketing,logical,Heuristique commune,TRUE si commune in Grenoble+Nord+Ouest+Sud-Est
groupe_geomarketing,Grenoble/Nord/Ouest/Sud-Est/NA,Groupe territorial geomarketing,character,Heuristique commune,mapping commune -> groupe selon script carte groupes report.R
dans_zone_fichier,true/false,Point dans la zone spatiale chargee via fichier zone_etude (ou bbox fallback),logical,Zone d'etude,st_intersects avec zone_etude chargee
type_point_vente,super/hyper/autre,Typologie pragmatique du point de vente,character,Heuristique script + SIRENE,NAF 47.11* + mots-cles enseigne/denomination + taille etab
enseigne,texte normalise / ENSEIGNE_INCONNUE,Enseigne normalisee,character,SIRENE,normalize_enseigne + coalesce enseigne1/2/3/denomination
source_drive,none/manual_web/bonial_nielsen/lsa_europresse/autre,Source de l'information drive,character,Fichier drives,none si pas d'info drives sinon source du fichier
