"variable","description","type","source"
"SIRET","Identifiant unique de l’établissement","character","SIRENE"
"SIREN","Identifiant de l’unité légale","character","SIRENE"
"Raison_sociale","Dénomination officielle de l’établissement","character","SIRENE"
"Nom_usuel","Enseigne commerciale","character","SIRENE"
"Siege","Indique si l’établissement est siège","logical","SIRENE"
"Appartient_groupe","Appartenance à un groupe","logical","SIRENE"
"Nom_groupe","Nom du groupe commercial","character","SIRENE"
"Date_creation","Date de création de l’établissement","date","SIRENE"
"Drive_accole","Présence d’un drive accolé","logical","Recherche manuelle"
"Date_creation_drive","Date de création du drive","date","Recherche manuelle"
"Drive_deporte","Présence d’un drive déporté","logical","Recherche manuelle"
"Code_NAF","Code NAF de l’établissement","character","SIRENE"
"Libelle_NAF","Libellé du code NAF","character","SIRENE"
"Adresse","Adresse complète","character","SIRENE"
"Code_IRIS","Code IRIS de localisation","character","INSEE IRIS"
"Zone_etude","Indique si l’établissement est dans la zone d’étude","logical","Traitement interne"
