type_point_vente,enseigne,denomination_usuelle,adresse_postale,code_iris,groupe_geomarketing,drive_accole,drive_deporte
super,ALDI MARCHE,ALDI MARCHE,2 Rue HOCHE,381850212,Grenoble,FALSE,FALSE
super,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,10 Avenue MARIE REYNOARD,381850608,Grenoble,FALSE,FALSE
super,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,112 Avenue JEAN PERROT,381850601,Grenoble,FALSE,FALSE
super,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,35 Rue DE STALINGRAD,381850408,Grenoble,FALSE,FALSE
super,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,58 Boulevard MARECHAL FOCH,381850401,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,17 GRANDE RUE,381850206,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,2 Avenue FELIX VIALLET,381850204,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,2 Avenue RHIN ET DANUBE,381850301,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,22 Cours JEAN JAURES,381850105,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,25 Avenue MARECHAL RANDON,381850209,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,31 Cours JEAN JAURES,381850211,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,7 Square DES FUSILLES,381850301,Grenoble,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,9 Rue GUETAL,381850205,Grenoble,FALSE,FALSE
super,CARREFOUR CONTACT,CARREFOUR CONTACT,12 Rue ANDRE ARGOUGES,381850503,Grenoble,FALSE,FALSE
super,CARREFOUR EXPRESS,CARREFOUR EXPRESS,66 Avenue DES MARTYRS,381850102,Grenoble,FALSE,FALSE
super,CITY,CITY,17 Avenue ALBERT 1ER DE BELGIQUE,381850403,Grenoble,FALSE,FALSE
super,ENSEIGNE_INCONNUE,MARCELLINO,1 Rue DES CLERCS,381850206,Grenoble,FALSE,FALSE
super,ENSEIGNE_INCONNUE,LA CAPUCHE,10 Rue EDOUARD VAILLANT,381850411,Grenoble,TRUE,FALSE
super,ENSEIGNE_INCONNUE,GWENLIB,13 Avenue ALBERT 1ER DE BELGIQUE,381850404,Grenoble,FALSE,FALSE
super,ENSEIGNE_INCONNUE,CLOVALORO,18 Rue DE STRASBOURG,381850212,Grenoble,FALSE,FALSE
super,ENSEIGNE_INCONNUE,DISTRIBUTION CASINO FRANCE,26 Cours BERRIAT,381850203,Grenoble,FALSE,FALSE
super,INTERMARCHE,INTERMARCHE,13 Boulevard MARECHAL FOCH,381850402,Grenoble,FALSE,FALSE
super,INTERMARCHE,INTERMARCHE,15 Route DE LYON,381850201,Grenoble,TRUE,FALSE
super,INTERMARCHE,INTERMARCHE,26 Cours BERRIAT,381850203,Grenoble,FALSE,FALSE
super,LIDL,LIDL,97 Rue DES ALLIES,381850413,Grenoble,FALSE,FALSE
super,MONOPRIX,MONOPRIX,3 Rue CHARLES LORY,381850303,Grenoble,FALSE,FALSE
super,UTILE,UTILE,8 Rue HOCHE,381850212,Grenoble,FALSE,FALSE
hyper,CARREFOUR,CARREFOUR,1 Boulevard DES ALPES,382290401,Nord,TRUE,FALSE
hyper,CARREFOUR,CARREFOUR,1 Rue DES ABATTOIRS,383820101,Nord,TRUE,FALSE
super,ALDI MARCHE,ALDI MARCHE,LES ILES,383820101,Nord,FALSE,FALSE
super,CARREFOUR EXPRESS,CARREFOUR EXPRESS,1 B Rue DE PREDIEU,383820203,Nord,FALSE,FALSE
super,CARREFOUR EXPRESS,CARREFOUR EXPRESS,28 GRANDE RUE,385160101,Nord,FALSE,FALSE
super,CARREFOUR EXPRESS,CARREFOUR EXPRESS,47 Avenue DE CHARTREUSE,382290302,Nord,FALSE,FALSE
super,LIDL,SNC LIDL,33 Avenue DE VERDUN,382290102,Nord,FALSE,FALSE
super,LIDL,LIDL,Avenue GENERAL LECLERC,384230101,Nord,FALSE,FALSE
hyper,ENSEIGNE_INCONNUE,DISTRIBUTION CASINO FRANCE,120 Boulevard PAUL LANGEVIN,381690110,Ouest,TRUE,FALSE
hyper,ENSEIGNE_INCONNUE,AHYPER 2,120 Boulevard PAUL LANGEVIN,381690110,Ouest,TRUE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,29 Boulevard DE L’EUROPE,384850101,Ouest,FALSE,FALSE
super,CARREFOUR CONTACT,CARREFOUR CONTACT,39 Boulevard JOLIOT CURIE,381690104,Ouest,FALSE,FALSE
super,CARREFOUR MARKET,CARREFOUR MARKET,Rue DU 19 MARS 1962,384740104,Ouest,FALSE,FALSE
super,ENSEIGNE_INCONNUE,SOSADE,10 Boulevard PAUL LANGEVIN,381690111,Ouest,FALSE,FALSE
super,ENSEIGNE_INCONNUE,JOCILE,112 Rue DE LA LIBERTE,384860102,Ouest,FALSE,FALSE
super,ENSEIGNE_INCONNUE,LIDL,3 Avenue DE ROMANS,384740101,Ouest,FALSE,FALSE
super,ENSEIGNE_INCONNUE,GREECE 56,Rue DE LA FAUCONNIERE,384850103,Ouest,FALSE,FALSE
super,LIDL,SNC LIDL,20 Avenue DE GRENOBLE,384850103,Ouest,FALSE,FALSE
super,NETTO,NETTO,99 Avenue GENERAL DE GAULLE,384860102,Ouest,FALSE,FALSE
hyper,ENSEIGNE_INCONNUE,SAINT MARTIN DISTRIBUTION,Rue DU PRE RUFFIER,384210301,Sud-Est,FALSE,FALSE
super,ALDI MARCHE,ALDI MARCHE,Avenue VICTOR HUGO,381510201,Sud-Est,FALSE,FALSE
super,CARREFOUR CITY,CARREFOUR CITY,24 Rue DE NORMANDIE-NIEMEN,381510402,Sud-Est,FALSE,FALSE
super,CARREFOUR EXPRESS,CARREFOUR EXPRESS,97 Avenue BENOIT FRACHON,384210201,Sud-Est,FALSE,FALSE
super,CARREFOUR MARKET,CARREFOUR MARKET,135 Avenue GABRIEL PERI,384210603,Sud-Est,FALSE,FALSE
super,ENSEIGNE_INCONNUE,LIDL,10 Cours JEAN JAURES,381510101,Sud-Est,FALSE,FALSE
super,ENSEIGNE_INCONNUE,SUPERMERCADO BARATO,102 Avenue MARCEL CACHIN,384210302,Sud-Est,FALSE,FALSE
super,ENSEIGNE_INCONNUE,DISTRIBUTION CASINO FRANCE,46 Cours JEAN JAURES,381510101,Sud-Est,FALSE,FALSE
super,KAYI EXPRESS,KAYI MARKET,10 Rue DE NORMANDIE,381510402,Sud-Est,FALSE,FALSE
super,LIDL,SNC LIDL,17 Rue DES GLAIRONS,384210603,Sud-Est,FALSE,FALSE
super,MARKET,MARKET,135 Avenue GABRIEL PERI,384210603,Sud-Est,FALSE,FALSE
super,SUPER MARCHE SAVEURS ISTANBUL,SUPER MARCHE SAVEURS ISTANBUL,182 Avenue AMBROISE CROIZAT,384210502,Sud-Est,FALSE,FALSE
