adresse_postale,nb_points
120 Boulevard PAUL LANGEVIN,2
135 Avenue GABRIEL PERI,2
26 Cours BERRIAT,2
1 B Rue DE PREDIEU,1
1 Boulevard DES ALPES,1
1 Rue DES ABATTOIRS,1
1 Rue DES CLERCS,1
10 Avenue MARIE REYNOARD,1
10 Boulevard PAUL LANGEVIN,1
10 Cours JEAN JAURES,1
10 Rue DE NORMANDIE,1
10 Rue EDOUARD VAILLANT,1
102 Avenue MARCEL CACHIN,1
112 Avenue JEAN PERROT,1
112 Rue DE LA LIBERTE,1
12 Rue ANDRE ARGOUGES,1
13 Avenue ALBERT 1ER DE BELGIQUE,1
13 Boulevard MARECHAL FOCH,1
15 Route DE LYON,1
17 Avenue ALBERT 1ER DE BELGIQUE,1
17 GRANDE RUE,1
17 Rue DES GLAIRONS,1
18 Rue DE STRASBOURG,1
182 Avenue AMBROISE CROIZAT,1
2 Avenue FELIX VIALLET,1
2 Avenue RHIN ET DANUBE,1
2 Rue HOCHE,1
20 Avenue DE GRENOBLE,1
22 Cours JEAN JAURES,1
24 Rue DE NORMANDIE-NIEMEN,1
25 Avenue MARECHAL RANDON,1
28 GRANDE RUE,1
29 Boulevard DE L’EUROPE,1
3 Avenue DE ROMANS,1
3 Rue CHARLES LORY,1
31 Cours JEAN JAURES,1
33 Avenue DE VERDUN,1
35 Rue DE STALINGRAD,1
39 Boulevard JOLIOT CURIE,1
46 Cours JEAN JAURES,1
47 Avenue DE CHARTREUSE,1
58 Boulevard MARECHAL FOCH,1
66 Avenue DES MARTYRS,1
7 Square DES FUSILLES,1
8 Rue HOCHE,1
9 Rue GUETAL,1
97 Avenue BENOIT FRACHON,1
97 Rue DES ALLIES,1
99 Avenue GENERAL DE GAULLE,1
Avenue GENERAL LECLERC,1
Avenue VICTOR HUGO,1
LES ILES,1
Rue DE LA FAUCONNIERE,1
Rue DU 19 MARS 1962,1
Rue DU PRE RUFFIER,1
