rank,iris_name,CODE_IRIS,score_final,dist_min_m,dist_min_hyper_m,dist_min_super_m,n_hyper_1km,n_super_1km,competition_weighted,Pop_15_64,Mediane_revenu,Nb_residence_principale,Actif_total
1,Maupertuis-Saint-Mury-Charlaix,382290301,0.5648484857303012,1350.0107416075216,2525.6971373149763,1350.0107416075216,0,0,0.4328791056652256,1730,39064,699,1274
2,Maquis du Grésivaudan Nord,385160101,0.5536908891954133,1012.5076894292577,2669.9677364307527,1012.5076894292577,0,0,0.4273314520850473,2507,21830,1060,1710
3,Corenc (commune non irisée),381260000,0.5450883535186045,1796.4391016194668,2623.610195319116,1796.4391016194668,0,0,0.31377163390523233,2314,21830,759,1677
4,La Monta-Visancourt,383820105,0.5447373855604075,1440.343762177981,1440.343762177981,1723.311422979193,0,0,0.7352595838467464,1962,23674,1215,1584
5,Haut Meylan,382290302,0.5315045868428833,1111.0879566218714,2820.6021199456654,1111.0879566218714,0,0,0.4716118716529672,1564,41280,468,1115
6,Rondeau-Libération,381850310,0.5095581689923512,1384.879626772743,6525.492123595592,1384.879626772743,0,0,1.0383398504822483,1959,21720,1063,1383
7,Fiancey-Brieux,383820201,0.4969409154529357,1293.6955183880266,2677.769425218878,1293.6955183880266,0,0,0.3322019077701635,1690,27360,850,1050
8,Maquis du Grésivaudan Sud,385160102,0.46600854349773313,972.3769179131416,1725.298803607106,972.3769179131416,0,1,2.167697514833894,1870,21830,1017,1154
9,Grand-Place Alpexpo,381850611,0.4505593016841724,1095.2981089447292,5882.129870838408,1095.2981089447292,0,0,0.7445144666423493,1526,21830,964.5,1088.5
10,Beauvert,381850414,0.44350841891564624,791.041913256547,5891.881612220696,791.041913256547,0,2,2.3819201430295784,1745,20888,985,1299
