"CARREFOUR","ALDI MARCHE","CARREFOUR CITY","CARREFOUR EXPRESS","ENSEIGNE_INCONNUE","AUCHAN SUPERMARCHE","iris_name"
1,1,1,0,0,0,"Corenc (commune non irisée)"
2,2,0,0,0,0,"Polygone"
2,3,1,2,1,0,"Jean Macé"
2,3,0,1,1,0,"Europole"
2,2,0,0,0,0,"Diderot"
1,2,1,1,1,0,"Gare"
2,3,0,0,0,0,"Cours Berriat"
1,4,1,3,1,1,"Gabriel Péri"
2,3,0,0,0,0,"Berriat-Ampère"
1,3,2,2,1,1,"Saint-Bruno"
2,3,0,0,0,0,"Waldeck-Rousseau"
1,3,2,1,1,1,"Lustucru"
2,2,1,1,1,0,"Esplanade"
2,1,1,1,1,0,"Saint-Laurent-Lavalette"
2,3,1,4,1,1,"Jean Jaurès"
2,2,1,3,1,1,"Créqui-Victor Hugo"
2,2,2,3,1,1,"Grenette"
2,1,2,2,1,0,"Saint-André"
2,0,1,2,0,0,"Notre-Dame"
2,0,0,2,0,0,"Trois Cours"
2,0,1,2,0,0,"Île Verte-Saint-Roch"
2,0,1,1,0,0,"Île Verte-Maréchal Randon"
2,3,1,4,2,1,"Génissieu"
2,2,1,4,3,2,"Préfecture"
1,0,1,2,1,1,"Hébert-Mutualité"
2,3,2,3,3,1,"Aigle"
2,3,2,3,2,1,"Championnet"
2,1,1,3,2,2,"Hoche"
2,1,1,0,0,0,"Drac-Ampère"
2,2,0,0,0,0,"Clinique Mutualiste"
2,3,1,1,1,1,"Vallier"
2,3,2,1,3,1,"Jaurès-Vallier"
2,2,1,0,0,1,"Eaux Claires-Champs Élysées"
1,3,1,1,1,1,"Sidi-Brahim"
2,1,1,0,0,0,"Eaux Claires-Painlevé"
1,2,1,0,0,1,"Houille Blanche"
2,1,1,0,0,0,"Mistral"
2,1,1,0,0,0,"Rondeau-Libération"
2,1,1,0,1,1,"Abry"
2,3,2,2,3,1,"Foch Ouest"
2,2,2,2,2,1,"Foch Est"
1,1,2,2,2,1,"Gustave Rivet"
1,0,1,3,2,1,"Diables Bleus"
1,0,1,3,2,1,"Clemenceau"
2,2,2,1,2,1,"Reyniès"
2,2,2,2,2,1,"Ferrié-Stalingrad"
1,0,2,2,2,1,"Peretto"
1,0,2,3,2,1,"Bajatière Ouest"
1,0,0,3,2,1,"Bajatière Est"
1,0,2,2,2,1,"Capuche"
0,0,1,1,2,1,"Alliés-Clos d'Or"
1,1,1,1,1,1,"Alpins"
2,0,1,1,1,1,"Beauvert"
1,0,1,2,1,1,"Valmy"
1,0,0,3,2,1,"Jeanne d'Arc"
1,0,0,2,2,1,"Abbaye"
1,0,0,2,2,1,"Jouhaux"
1,0,0,1,1,0,"Poterne"
1,0,0,1,1,0,"Paul Cocat"
1,0,0,1,0,0,"Teisseire"
1,0,1,2,2,1,"Malherbe"
1,0,1,1,1,0,"La Bruyère"
0,0,1,0,1,2,"Les Trembles"
1,0,1,0,0,0,"Arlequin"
1,0,0,0,0,0,"Constantine-Géants"
1,0,0,1,0,0,"Helbronner"
1,0,0,0,0,0,"Baladins"
2,0,1,0,1,2,"Vigny-Musset"
1,0,1,0,0,0,"Village Olympique Nord"
2,0,1,0,0,0,"Village Olympique Sud"
2,0,0,0,0,0,"Grand-Place Alpexpo"
1,1,0,0,0,0,"Béalières"
1,1,0,0,0,0,"Grand Pré-Buclos-Eyminées"
1,1,0,0,0,0,"Ayguinards"
1,1,1,0,0,0,"Revirée"
1,1,1,0,0,0,"Plaine Fleurie"
1,1,0,0,0,0,"Maupertuis-Saint-Mury-Charlaix"
1,1,0,0,0,0,"Haut Meylan"
1,1,0,0,0,0,"Zone d'Activités 1"
1,1,0,0,0,0,"Zone d'Activités 2"
1,1,0,0,0,0,"Zone d'Activités 3"
1,1,0,0,0,0,"Zone Spécifique l'Île d'Amour"
1,2,1,1,0,0,"Zone Industrielle"
1,1,0,0,0,0,"Rochepleine"
1,1,1,0,0,0,"Champaviotte"
1,1,1,0,0,0,"Barnave-Saint-Robert"
1,1,1,0,0,0,"La Monta-Visancourt"
1,0,1,1,0,0,"Fiancey-Brieux"
1,0,1,1,0,0,"Moutonnées"
1,0,1,1,0,0,"Prédieu"
1,1,1,2,1,0,"Sud-Ouest et Z.I."
1,1,1,2,1,0,"Nord-Est"
1,0,1,0,0,0,"Maquis du Grésivaudan Nord"
1,0,1,1,1,0,"Maquis du Grésivaudan Sud"
