row_id,siret_raw,siret_approx14,key6,date_creation_pappers,capital_social_num,ca_2021_num,ca_2024_num,matched_siret,match_method,n_candidates
1,93143055700013,93143055700013,931430,24-08-20,7500,,,93143055700013,prefix6_exact,1
2,44433064101075,44433064101075,444330,28-11-20,2800000,251000000,389000000,,prefix6_exact_ambiguous,2
3,81422763300025,81422763300025,814227,1-11-20,20230,3320000,4070000,81422763300025,prefix6_exact,1
4,98779465800037,98779465800037,987794,14-03-20,3875731,,,98779465800037,prefix6_exact,1
5,93307543400011,93307543400011,933075,1-10-20,3000,,,93307543400011,prefix6_exact,1
6,44861416400011,44861416400011,448614,1-04-20,,,,44861416400011,prefix6_exact,1
7,89765470300023,89765470300023,897654,12-04-20,3000,1130000,2380000,89765470300023,prefix6_exact,1
8,34326262227282,34326262227282,343262,17-12-19,458000000,,,,prefix6_exact_ambiguous,3
9,34326262218893,34326262218893,343262,17-12-19,458000000,,,,prefix6_exact_ambiguous,3
10,89158795800028,89158795800028,891587,9-11-20,10000,1390000,2050000,89158795800028,prefix6_exact,1
11,44433064101422,44433064101422,444330,28-11-20,2800000,251000000,389000000,,prefix6_exact_ambiguous,2
12,81372232900030,81372232900030,813722,21-09-20,20290,3190000,3870000,81372232900030,prefix6_exact,1
13,83749801300023,83749801300023,837498,28-02-20,10820,,-8930,83749801300023,prefix6_exact,1
14,45132133501120,45132133501120,451321,10-01-20,346758000,13900000000,11800000000,,prefix6_exact_ambiguous,2
15,97828380200012,97828380200012,978283,1-09-20,7500,,1400000,97828380200012,prefix6_exact,1
16,98245083500011,98245083500011,982450,9-12-20,10130,,2070000,98245083500011,prefix6_exact,1
17,94515324500010,94515324500010,945153,28-05-20,270300,,,94515324500010,prefix6_exact,1
18,34326262218703,34326262218703,343262,17-12-19,458000000,,,,prefix6_exact_ambiguous,3
19,90272346900026,90272346900026,902723,24-09-20,9460,,1580000,90272346900026,prefix6_exact,1
20,50751360400029,50751360400029,507513,21-07-20,102000,,,50751360400029,prefix6_exact,1
21,93143055700013,93143055700013,931430,24-08-20,7500,,,93143055700013,prefix6_exact,1
22,81422763300025,81422763300025,814227,1-11-20,20230,3320000,4070000,81422763300025,prefix6_exact,1
23,98779465800037,98779465800037,987794,14-03-20,3875731,,,98779465800037,prefix6_exact,1
24,93307543400011,93307543400011,933075,1-10-20,3000,,,93307543400011,prefix6_exact,1
25,44861416400011,44861416400011,448614,1-04-20,,,,44861416400011,prefix6_exact,1
26,89158795800028,89158795800028,891587,9-11-20,10000,1390000,2050000,89158795800028,prefix6_exact,1
27,94515324500010,94515324500010,945153,28-05-20,270300,,,94515324500010,prefix6_exact,1
28,34326262218703,34326262218703,343262,17-12-19,458000000,,,,prefix6_exact_ambiguous,3
29,90272346900026,90272346900026,902723,24-09-20,9460,,1580000,90272346900026,prefix6_exact,1
30,33489707100034,33489707100034,334897,1-03-19,168432,13200000,15700000,33489707100034,prefix6_exact,1
31,98261290500017,98261290500017,982612,4-01-20,5000,,1280000,98261290500017,prefix6_exact,1
32,83888448400018,83888448400018,838884,9-04-20,162200,1340000,1650000,83888448400018,prefix6_exact,1
33,43499721900028,43499721900028,434997,15-03-20,8000,2020000,,43499721900028,prefix6_exact,1
34,41040901501228,41040901501228,410409,3-01-19,,2910000000,3020000000,,prefix6_exact_ambiguous,4
35,41040901502747,41040901502747,410409,3-01-19,,2910000000,3020000000,,prefix6_exact_ambiguous,4
36,41040901503372,41040901503372,410409,3-01-19,,2910000000,3020000000,,prefix6_exact_ambiguous,4
37,41040901501210,41040901501210,410409,3-01-19,,2910000000,3020000000,,prefix6_exact_ambiguous,4
