source_id,column,n_non_na,n_year_detected,min_year,max_year,top_years
raw_dataseed_sirene_2,datecreatio,342,342,1900,2022,2021 (22); 2000 (21); 2008 (21); 2018 (20); 2016 (19)
raw_dataseed_sirene_2,anneeeffect,187,187,2019,2020,2020 (179); 2019 (8)
raw_dataseed_sirene_2,datedernier,342,342,2008,2022,2022 (204); 2019 (36); 2021 (32); 2020 (18); 2016 (13)
raw_dataseed_sirene_2,datedebutet,332,332,2008,2022,2008 (59); 2018 (39); 2014 (28); 2021 (28); 2016 (25)
raw_dataseed_sirene_2,datecreatio.1,342,342,1955,2022,1987 (37); 1999 (23); 2011 (18); 1988 (17); 2007 (17)
raw_dataseed_sirene_2,anneeeffect.1,249,249,2019,2020,2020 (243); 2019 (6)
raw_dataseed_sirene_2,datedernier.1,342,342,2009,2022,2022 (280); 2020 (33); 2021 (15); 2013 (3); 2014 (2)
raw_dataseed_sirene_2,anneecatego,269,269,2020,2020,2020 (269)
raw_dataseed_sirene_2,datedebutun,232,232,2008,2022,2022 (36); 2018 (34); 2021 (34); 2020 (33); 2019 (22)
raw_dataseed_sirene_2,datefermetu,132,132,1987,2022,2018 (23); 2014 (19); 2016 (19); 2013 (12); 2019 (8)
raw_dataseed_sirene_2,datefermetu.1,62,62,2006,2022,2014 (14); 2016 (14); 2021 (9); 2020 (5); 2022 (5)
raw_dataseed_sirene_1,Date_de_cre,239,239,1983,2025,2024 (27); 2021 (18); 2025 (18); 2023 (16); 2020 (12)
raw_dataseed_sirene_1,Annee_de_la,183,183,2023,2023,2023 (183)
raw_dataseed_sirene_1,Date_de_la_,239,239,2025,2025,2025 (239)
raw_dataseed_sirene_1,Date_du_deb,239,239,2008,2025,2008 (56); 2024 (28); 2025 (22); 2021 (17); 2023 (16)
raw_dataseed_sirene_1,Date_de_cre.1,239,239,1955,2025,1987 (31); 2024 (23); 2002 (16); 2025 (11); 1997 (10)
raw_dataseed_sirene_1,Annee_de_la.1,199,199,2023,2023,2023 (199)
raw_dataseed_sirene_1,Date_du_der,239,239,2025,2025,2025 (239)
raw_dataseed_sirene_1,Annee_de_la.2,205,205,2023,2023,2023 (205)
raw_dataseed_sirene_1,Date_de_deb,239,239,2008,2026,2023 (38); 2024 (37); 2025 (32); 2026 (30); 2008 (21)
raw_dataseed_sirene_1,Date_de_fer,0,0,NA,NA,NA
raw_dataseed_sirene_1,Date_de_fer.1,0,0,NA,NA,NA
actif_dataseed_sirene_1,Date_de_cre,239,239,1983,2025,2024 (27); 2021 (18); 2025 (18); 2023 (16); 2020 (12)
actif_dataseed_sirene_1,Annee_de_la,183,183,2023,2023,2023 (183)
actif_dataseed_sirene_1,Date_de_la_,239,239,2025,2025,2025 (239)
actif_dataseed_sirene_1,Date_du_deb,239,239,2008,2025,2008 (56); 2024 (28); 2025 (22); 2021 (17); 2023 (16)
actif_dataseed_sirene_1,Date_de_cre.1,239,239,1955,2025,1987 (31); 2024 (23); 2002 (16); 2025 (11); 1997 (10)
actif_dataseed_sirene_1,Annee_de_la.1,199,199,2023,2023,2023 (199)
actif_dataseed_sirene_1,Date_du_der,239,239,2025,2025,2025 (239)
actif_dataseed_sirene_1,Annee_de_la.2,205,205,2023,2023,2023 (205)
actif_dataseed_sirene_1,Date_de_deb,239,239,2008,2026,2023 (38); 2024 (37); 2025 (32); 2026 (30); 2008 (21)
actif_dataseed_sirene_1,Date_de_fer,0,0,NA,NA,NA
actif_dataseed_sirene_1,Date_de_fer.1,0,0,NA,NA,NA
